진료년도,표시과목,주상병코드,환자수,명세서 청구건수,요양급여비용총액,보험자부담금
2018,일반의,H04,87897,152563,2414129020,1812271060
2018,일반의,H05,934,1130,19860640,14677700
2018,일반의,H06,114,171,4009780,2955750
2018,일반의,H10,235886,331035,5350436420,4060224470
2018,일반의,H11,21770,33994,599017640,444933360
2018,일반의,H13,234,314,4834200,3624600
2018,일반의,H15,567,895,16010020,11913620
2018,일반의,H16,32883,52591,894865540,676707100
2018,일반의,H17,197,522,12317150,9535850
2018,일반의,H18,1002,1866,30794330,23474530
2018,일반의,H19,5547,10541,197211800,149075500
2018,일반의,H20,1002,2933,55223210,41327120
2018,일반의,H21,64,98,1947610,1433710
2018,일반의,H22,2,3,79960,56160
2018,일반의,H25,14355,36451,985651010,772580920
2018,일반의,H26,2639,4629,130373370,97745550
2018,일반의,H27,313,1127,24228930,19869930
2018,일반의,H28,27,46,723050,575250
2018,일반의,H30,241,308,6093980,4823280
2018,일반의,H31,136,284,13590670,9885270
2018,일반의,H32,3,8,110480,92380
2018,일반의,H33,63,74,2324160,1655360
2018,일반의,H34,253,615,10527550,8190650
2018,일반의,H35,3177,6171,161806370,124469720
2018,일반의,H36,4609,12957,233637000,185947900
2018,일반의,H40,7073,16204,315471750,245046360
2018,일반의,H42,134,318,4145480,3482480
2018,일반의,H43,2018,3183,89977580,65774280
2018,일반의,H44,321,437,8144650,6364300
2018,일반의,H45,16,21,398660,300260
2018,일반의,H46,21,31,1589670,1124670
2018,일반의,H47,131,214,8486030,6195530
2018,일반의,H48,2,2,57640,43740
2018,일반의,H49,34,96,2889990,2197450
2018,일반의,H50,324,389,11880280,9084260
2018,일반의,H51,7,8,197410,143310
2018,일반의,H52,20320,25711,899974630,639859130
2018,일반의,H53,1058,1467,46997360,33967150
2018,일반의,H54,319,695,13060590,10622190
2018,일반의,H55,80,82,4840130,3510030
2018,일반의,H57,715,911,18267810,13493910
2018,일반의,H58,2,2,53290,41190
2018,일반의,H59,60,107,1440960,1145660
2018,일반의,H60,102589,173574,2788536330,2089494150
2018,일반의,H61,18713,28044,714209160,526236030
2018,일반의,H62,1499,3300,55907180,42284280
2018,일반의,H65,51617,120649,2025948180,1530721550
2018,일반의,H66,141804,360887,6270640070,4821210890
2018,일반의,H67,2572,4215,73764450,54171750
2018,일반의,H68,5684,10361,167733930,123468220
2018,일반의,H69,1166,1534,39942460,28899960
2018,일반의,H70,169,231,4573700,3363900
2018,일반의,H71,262,1312,99434220,76850840
2018,일반의,H72,740,1603,99715080,75785240
2018,일반의,H73,1411,3548,56723370,42438640
2018,일반의,H74,121,423,90790030,70103410
2018,일반의,H75,3,3,53080,37280
2018,일반의,H80,20,43,4480010,3427070
2018,일반의,H81,121730,227529,4724215500,3636221170
2018,일반의,H82,1045,1569,26038240,20605990
2018,일반의,H83,587,841,15788410,11866510
2018,일반의,H90,6933,14677,2525788310,1979273460
2018,일반의,H91,4588,7716,323048670,232279940
2018,일반의,H92,3485,4570,78574050,58191050
2018,일반의,H93,16256,30207,818835320,606424310
2018,일반의,H94,5,6,97010,71410
2018,일반의,H95,16,44,908340,660640
2018,일반의,I00,191,477,9305490,7244920
2018,일반의,I01,44,69,1332450,1008150
2018,일반의,I02,2,2,30620,21620
2018,일반의,I05,260,738,25067480,18356880
2018,일반의,I06,78,231,11558690,8365390
2018,일반의,I07,155,224,4446680,3274480
2018,일반의,I08,156,420,37463560,32238650
2018,일반의,I09,18,32,554590,403990
2018,일반의,I10,1559672,10824037,1.78432E+11,1.40812E+11
2018,일반의,I11,20686,132138,2269847840,1822895690
2018,일반의,I12,869,3806,76503870,58766850
2018,일반의,I13,2661,16727,297274440,238114580
2018,일반의,I15,1897,8662,131198710,103879300
2018,일반의,I20,25658,76444,1498570910,1177687680
2018,일반의,I21,1369,3674,112867750,85099730
